year,to_country,performer,song,place_contest,sf_num,running_final,running_sf,place_final,points_final,place_sf,points_sf,points_tele_final,points_jury_final,points_tele_sf,points_jury_sf
2005,Poland,Ivan & Delfin,Czarna Dziewczyna,25,0,,25,,,11,81,,,,
2005,Slovenia,Omar Naber,Stop,26,0,,23,,,12,69,,,,
2005,Belarus,Angelica Agurbash,Love Me Tonight,27,0,,8,,,13,67,,,,
2005,Netherlands,Glennis Grace,My Impossible Dream,28,0,,9,,,14,53,,,,
2005,Ireland,Donna and Joseph McCaul,Love?,28,0,,22,,,14,53,,,,
2005,Iceland,Selma,If I Had Your Love,30,0,,10,,,16,52,,,,
2005,Portugal,2B,Amar,31,0,,3,,,17,51,,,,
2005,Finland,Geir Rönning,Why,32,0,,16,,,18,50,,,,
2005,Bulgaria,Kaffe,Lorraine,33,0,,21,,,19,49,,,,
2005,Estonia,Suntribe,Let's Get Loud,34,0,,12,,,20,31,,,,
2005,Austria,Global.Kryner,Y Así,35,0,,1,,,21,30,,,,
2005,Belgium,Nuno Resende,Le Grand Soir,36,0,,11,,,22,29,,,,
2005,Andorra,Marian van de Wal,La Mirada Interior,37,0,,18,,,23,27,,,,
2005,Monaco,Lise Darly,Tout De Moi,38,0,,6,,,24,22,,,,
2005,Lithuania,Laura and the Lovers,Little By Little,39,0,,2,,,25,17,,,,
2006,Finland,Lordi,Hard Rock Hallelujah,1,0,17,16,1,292,1,292,,,,
2006,Russia,Dima Bilan,Never Let You Go,2,0,10,13,2,248,3,217,,,,
2006,Bosnia & Herzegovina,Hari Mata Hari,Lejla,3,0,13,22,3,229,2,267,,,,
2006,Romania,Mihai Traistariu,Tornero,4,,12,,4,172,,,,,,
2006,Sweden,Carola,Invincible,5,0,22,20,5,170,4,214,,,,
2006,Lithuania,LT United,We Are The Winners,6,0,14,18,6,162,5,163,,,,
2006,Ukraine,Tina Karol,Show Me Your Love,7,0,18,15,7,145,7,146,,,,
2006,Armenia,André,Without Your Love,8,0,24,1,8,129,6,150,,,,
2006,Greece,Anna Vissi,Everything,9,,16,,9,128,,,,,,
2006,Ireland,Brian Kennedy,Every Song Is A Cry For Love,10,0,21,8,10,93,9,79,,,,
2006,Turkey,Sibel Tüzün,Superstar,11,0,23,14,11,91,8,91,,,,
2006,North Macedonia,Elena Risteska,Ninanajna,12,0,11,11,12,56,10,76,,,,
2006,Croatia,Severina,Moja tikla,12,,20,,12,56,,,,,,
2006,Norway,Christine Guldbrandsen,Alvedansen,14,,5,,14,36,,,,,,
2006,Germany,Texas Lightning,"No, No, Never",14,,8,,14,36,,,,,,
2006,Switzerland,Six4One,If We All Give A Little,16,,1,,16,30,,,,,,
2006,Latvia,Cosmos,I Hear Your Heart,16,,4,,16,30,,,,,,
2006,Denmark,Sidsel Ben Semmane,Twist Of Love,18,,9,,18,26,,,,,,
2006,United Kingdom,Daz Sampson,Teenage Life,19,,15,,19,25,,,,,,
2006,Moldova,Arsenium & Natalia Gordienko,Loca,20,,2,,20,22,,,,,,
2006,Spain,Las Ketchup,Bloody Mary,21,,6,,21,18,,,,,,
2006,France,Virginie Pouchin,Il était Temps,22,,19,,22,5,,,,,,
2006,Israel,Eddie Butler,Ze Hazman,23,,3,,23,4,,,,,,
2006,Malta,Fabrizio Faniello,I Do,24,,7,,24,1,,,,,,
2006,Poland,Ich Troje,Follow My Heart,25,0,,12,,,11,70,,,,
2006,Belgium,Kate Ryan,Je t'adore,26,0,,7,,,12,69,,,,
2006,Iceland,Silvia Night,Congratulations,27,0,,23,,,13,62,,,,
2006,Albania,Luiz Ejlli,Zjarr E Ftohtë,28,0,,6,,,14,58,,,,
2006,Cyprus,Annet Artani,Why Angels Cry,29,0,,9,,,15,57,,,,
2006,Slovenia,Anej Dean,Mr. Nobody,30,0,,3,,,16,49,,,,
2006,Bulgaria,Mariana Popova,Let Me Cry,31,0,,2,,,17,36,,,,
2006,Estonia,Sandra,Through My Window,32,0,,21,,,18,28,,,,
2006,Portugal,Nonstop,Coisas De Nada,33,0,,19,,,19,26,,,,
2006,Netherlands,Treble,Amambanda,34,0,,17,,,20,22,,,,
2006,Monaco,Séverine Ferrer,La Coco-dance,35,0,,10,,,21,14,,,,
2006,Belarus,Polina Smolova,Mum,36,0,,5,,,22,10,,,,
2006,Andorra,Jennifer,Sense Tu,37,0,,4,,,23,8,,,,
2007,Serbia,Marija Šerifović,Molitva,1,0,17,15,1,268,1,298,,,,
2007,Ukraine,Verka Serduchka,Dancing Lasha Tumbai,2,,18,,2,235,,,,,,
2007,Russia,Serebro,Song # 1,3,,15,,3,207,,,,,,
2007,Turkey,Kenan Dogulu,Shake It Up Shekerim,4,0,22,26,4,163,3,197,,,,
2007,Bulgaria,Elitsa Todorova & Stoyan Yankulov,Water,5,0,21,1,5,157,6,146,,,,
2007,Belarus,Dmitry Koldun,Work Your Magic,6,0,3,4,6,145,4,176,,,,
2007,Greece,Sarbel,Yassou Maria,7,,10,,7,139,,,,,,
2007,Armenia,Hayko,Anytime You Need,8,,23,,8,138,,,,,,
2007,Hungary,Magdi Rúzsa,Unsubstantial Blues,9,0,8,22,9,128,2,224,,,,
2007,Moldova,Natalia Barbu,Fight,10,0,24,9,10,109,10,91,,,,
2007,Bosnia & Herzegovina,Marija Sestic,Rijeka Bez Imena,11,,1,,11,106,,,,,,
2007,Georgia,Sopho,Visionary Dream,12,0,11,6,12,97,8,123,,,,
2007,Romania,Todomondo,"Liubi, Liubi, I Love You",13,,20,,13,84,,,,,,
2007,North Macedonia,Karolina,Mojot Svet,14,0,6,18,14,73,9,97,,,,
2007,Slovenia,Alenka Gotar,Cvet Z Juga,15,0,7,25,15,66,7,140,,,,
2007,Latvia,Bonaparti.lv,Questa Notte,16,0,14,28,16,54,5,168,,,,
2007,Finland,Hanna Pakarinen,Leave Me Alone,17,,5,,17,53,,,,,,
2007,Sweden,The Ark,The Worrying Kind,18,,12,,18,51,,,,,,
2007,Germany,Roger Cicero,Frauen Regieren Die Welt,19,,16,,19,49,,,,,,
2007,Spain,NASH,I Love You Mi Vida,20,,2,,20,43,,,,,,
2007,Lithuania,4Fun,Love Or Leave,21,,9,,21,28,,,,,,
2007,France,Les Fatals Picards,L'amour à La Française,22,,13,,22,19,,,,,,
2007,United Kingdom,Scooch,Flying The Flag (for You),22,,19,,22,19,,,,,,
2007,Ireland,Dervish,They Can't Stop The Spring,24,,4,,24,5,,,,,,
2007,Portugal,Sabrina,Dança Comigo (vem Ser Feliz),25,0,,17,,,11,88,,,,
2007,Andorra,Anonymous,Salvem El Món,26,0,,21,,,12,80,,,,
2007,Iceland,Eiríkur Hauksson,Valentine Lost,27,0,,5,,,13,77,,,,
2007,Poland,The Jet Set,Time To Party,28,0,,14,,,14,75,,,,
2007,Cyprus,Evridiki,"Comme Ci, Comme ça",29,0,,3,,,15,65,,,,
2007,Croatia,Dragonfly feat. Dado Topic,Vjerujem U Ljubav,30,0,,13,,,16,54,,,,
2007,Albania,Aida & Frederik Ndoci,Hear My Plea,31,0,,11,,,17,49,,,,
2007,Norway,Guri Schanke,Ven A Bailar Conmigo,32,0,,19,,,18,48,,,,
2007,Denmark,DQ,Drama Queen,33,0,,12,,,19,45,,,,
2007,Switzerland,DJ BoBo,Vampires Are Alive,34,0,,8,,,20,40,,,,
2007,Netherlands,Edsilia Rombley,On Top Of The World,35,0,,10,,,21,38,,,,
2007,Montenegro,Stevan Faddy,Ajde Kroci,36,0,,7,,,22,33,,,,
2007,Estonia,Gerli Padar,Partners In Crime,36,0,,23,,,22,33,,,,
2007,Israel,Teapacks,Push The Button,38,0,,2,,,24,17,,,,
2007,Malta,Olivia Lewis,Vertigo,39,0,,20,,,25,15,,,,
2007,Belgium,The KMG's,Love Power,40,0,,24,,,26,14,,,,
2007,Austria,Eric Papilaya,Get A Life - Get Alive,41,0,,27,,,27,4,,,,
2007,Czech Republic,Kabát,Malá Dáma,42,0,,16,,,28,1,,,,
2008,Russia,Dima Bilan,Believe,1,1,24,18,1,272,3,135,,,,
2008,Ukraine,Ani Lorak,Shady Lady,2,2,18,4,2,230,1,152,,,,
2008,Greece,Kalomira,Secret Combination,3,1,21,19,3,218,1,156,,,,
2008,Armenia,Sirusho,"Qele, Qele",4,1,5,14,4,199,2,139,,,,
2008,Norway,Maria,Hold On Be Strong,5,1,25,9,5,182,4,106,,,,
2008,Serbia,Jelena Tomašević feat. Bora Dugic,Oro,6,,23,,6,160,,,,,,
2008,Turkey,Mor ve Ötesi,Deli,7,2,12,3,7,138,7,85,,,,
2008,Azerbaijan,Elnur & Samir,Day After Day,8,1,20,7,8,132,6,96,,,,
2008,Israel,Boaz,The Fire In Your Eyes,9,1,7,2,9,124,5,104,,,,
2008,Bosnia & Herzegovina,Laka,Pokušaj,10,1,6,13,10,110,9,72,,,,
2008,Georgia,Diana Gurtskaya,Peace Will Come,11,2,17,14,11,83,5,107,,,,
2008,Latvia,Pirates Of The Sea,Wolves Of The Sea,12,2,14,10,12,83,6,86,,,,
2008,Portugal,Vânia Fernandes,Senhora Do Mar (Negras Águas),13,2,13,19,13,69,2,120,,,,
2008,Iceland,Euroband,This Is My Life,14,2,11,1,14,64,8,68,,,,
2008,Denmark,Simon Mathew,All Night Long,15,2,16,13,15,60,3,112,,,,
2008,Spain,Rodolfo Chikilicuatre,Baila El Chiki Chiki,16,,22,,16,55,,,,,,
2008,Albania,Olta Boka,Zemrën E Lamë Peng,17,2,3,6,17,55,9,67,,,,
2008,Sweden,Charlotte Perrelli,Hero,18,2,15,2,18,47,12,54,,,,
2008,France,Sébastien Tellier,Divine,19,,19,,19,47,,,,,,
2008,Romania,Nico & Vlad,Pe-o Margine De Lume,20,1,1,17,20,45,7,94,,,,
2008,Croatia,Kraljevi Ulice & 75 Cents,Romanca,21,2,9,11,21,44,4,112,,,,
2008,Finland,Teräsbetoni,Missä Miehet Ratsastaa,22,1,8,16,22,35,8,79,,,,
2008,Germany,No Angels,Disappear,23,,4,,23,14,,,,,,
2008,Poland,Isis Gee,For Life,24,1,10,10,24,14,10,42,,,,
2008,United Kingdom,Andy Abraham,Even If,25,,2,,25,14,,,,,,
2008,North Macedonia,"Tamara, Vrčak & Adrijan",Let Me Love You,26,2,,18,,,10,64,,,,
2008,Bulgaria,Deep Zone & Balthazar,"DJ, Take Me Away",27,2,,12,,,11,56,,,,
2008,Switzerland,Paolo Meneguzzi,Era Stupendo,28,2,,7,,,13,47,,,,
2008,Malta,Morena,Vodka,29,2,,16,,,14,38,,,,
2008,Slovenia,Rebeka Dremelj,Vrag Naj Vzame,30,1,,8,,,11,36,,,,
2008,Moldova,Geta Burlacu,A Century Of Love,31,1,,4,,,12,36,,,,
2008,Cyprus,Evdokia Kadi,Femme Fatale,32,2,,17,,,15,36,,,,
2008,Lithuania,Jeronimas Milius,Nomads In The Night,33,2,,5,,,16,30,,,,
2008,Netherlands,Hind,Your Heart Belongs To Me,34,1,,15,,,13,27,,,,
2008,Belarus,Ruslan Alehno,Hasta La Vista,35,2,,9,,,17,27,,,,
2008,Montenegro,Stefan Filipović,Zauvijek Volim Te,36,1,,1,,,14,23,,,,
2008,Ireland,Dustin the Turkey,Irelande Douze Pointe,37,1,,11,,,15,22,,,,
2008,Andorra,Gisela,Casanova,38,1,,12,,,16,22,,,,
2008,Belgium,Ishtar,O Julissi,39,1,,6,,,17,16,,,,
2008,Czech Republic,Tereza Kerndlová,Have Some Fun,40,2,,8,,,18,9,,,,
2008,Estonia,Kreisiraadio,Leto Svet,41,1,,3,,,18,8,,,,
2008,Hungary,Csézy,Candlelight,42,2,,15,,,19,6,,,,
2008,San Marino,Miodio,Complice,43,1,,5,,,19,5,,,,
2009,Norway,Alexander Rybak,Fairytale,1,2,20,6,1,387,1,201,,,,
2009,Iceland,Yohanna,Is It True?,2,1,7,12,2,218,1,174,,,,
2009,Azerbaijan,AySel & Arash,Always,3,2,11,12,3,207,2,180,,,,
2009,Turkey,Hadise,Düm Tek Tek,4,1,18,9,4,177,2,172,,,,
2009,United Kingdom,Jade Ewen,It's My Time,5,,23,,5,173,,,,,,
2009,Estonia,Urban Symphony,Rändajad,6,2,15,18,6,129,3,115,,,,
2009,Greece,Sakis Rouvas,This Is Our Night,7,2,8,13,7,120,4,110,,,,
2009,France,Patricia Kaas,Et S'il Fallait Le Faire,8,,3,,8,107,,,,,,
2009,Bosnia & Herzegovina,Regina,Bistra Voda,9,1,12,18,9,106,3,125,,,,
2009,Armenia,Inga & Anush,Jan Jan,10,1,9,6,10,92,5,99,,,,
2009,Russia,Anastasia Prikhodko,Mamo,11,,10,,11,91,,,,,,
2009,Ukraine,Svetlana Loboda,Be my Valentine! (Anti-crisis Girl),12,2,21,17,12,76,6,80,,,,
2009,Denmark,Brinck,Believe Again,13,2,16,9,13,74,8,69,,,,
2009,Moldova,Nelly Ciobanu,Hora Din Moldova,14,2,13,15,14,69,5,106,,,,
2009,Portugal,Flor-de-lis,Todas As Ruas Do Amor,15,1,6,16,15,57,8,70,,,,
2009,Israel,Noa & Mira Awad,There Must Be Another Way,16,1,2,10,16,53,7,75,,,,
2009,Albania,Kejsi Tola,Carry Me In Your Dreams,17,2,19,16,17,48,7,73,,,,
2009,Croatia,Igor Cukrov feat. Andrea,Lijepa Tena,18,2,5,1,18,45,13,33,,,,
2009,Romania,Elena,The Balkan Girls,19,1,22,14,19,40,9,67,,,,
2009,Germany,Alex Swings Oscar Sings!,Miss Kiss Kiss Bang,20,,17,,20,35,,,,,,
2009,Sweden,Malena Ernman,La Voix,21,1,4,5,21,33,4,105,,,,
2009,Malta,Chiara,What If We,22,1,14,17,22,31,6,86,,,,
2009,Lithuania,Sasha Son,Love,23,2,1,14,23,23,9,66,,,,
2009,Spain,Soraya,La Noche Es Para Mí (The Night Is For Me),24,,25,,24,23,,,,,,
2009,Finland,Waldo's People,Lose Control,25,1,24,15,25,22,12,42,,,,
2009,Serbia,Marko Kon & Milaan,Cipela,26,2,,4,,,10,60,,,,
2009,Ireland,Sinéad Mulvey & Black Daisy,Et Cetera,27,2,,2,,,11,52,,,,
2009,North Macedonia,Next Time,Neshto Shto Ke Ostane,28,1,,13,,,10,45,,,,
2009,Montenegro,Andrea Demirović,Just Get Out of My Life,29,1,,1,,,11,44,,,,
2009,Poland,Lidia Kopania,I Don't Wanna Leave,30,2,,5,,,12,43,,,,
2009,Cyprus,Christina Metaxa,Firefly,31,2,,7,,,14,32,,,,
2009,Belarus,Petr Elfimov,Eyes That Never Lie,32,1,,4,,,13,25,,,,
2009,Switzerland,Lovebugs,The Highest Heights,33,1,,8,,,14,15,,,,
2009,Hungary,Zoli Ádok,Dance With Me,34,2,,11,,,15,16,,,,
2009,Slovenia,Quartissimo feat. Martina,Love Symphony,35,2,,10,,,16,14,,,,
2009,Netherlands,The Toppers,Shine,36,2,,19,,,17,11,,,,
2009,Andorra,Susanne Georgi,La Teva Decisió (Get A Life),37,1,,7,,,15,8,,,,
2009,Slovakia,Kamil Mikulčík & Nela Pocisková,Leť Tmou,38,2,,8,,,18,8,,,,
2009,Bulgaria,Krassimir Avramov,Illusion,39,1,,11,,,16,7,,,,
2009,Latvia,Intars Busulis,Probka,40,2,,3,,,19,7,,,,
2009,Belgium,Copycat,,41,1,,3,,,17,1,,,,
2009,Czech Republic,Gipsy.cz,Aven Romale,42,1,,2,,,18,0,,,,
2010,Germany,Lena,Satellite,1,,22,,1,246,,,,,,
2010,Turkey,maNga,We Could Be The Same,2,2,14,17,2,170,1,118,,,,
2010,Romania,Paula Seling & Ovi,Playing With Fire,3,2,19,10,3,162,4,104,,,,
2010,Denmark,Chanée & N'evergreen,In A Moment Like This,4,2,25,4,4,149,5,101,,,,
2010,Azerbaijan,Safura,Drip Drop,5,2,1,7,5,145,2,113,,,,
2010,Belgium,Tom Dice,Me And My Guitar,6,1,7,10,6,143,1,167,,,,
2010,Armenia,Eva Rivas,Apricot Stone,7,2,21,2,7,141,6,83,,,,
2010,Greece,Giorgos Alkaios & Friends,OPA,8,1,11,13,8,140,2,133,,,,
2010,Georgia,Sofia Nizharadze,Shine,9,2,13,16,9,136,3,106,,,,
2010,Ukraine,Alyosha,Sweet People,10,2,17,8,10,108,7,77,,,,
2010,Russia,Peter Nalitch & Friends,Lost And Forgotten,11,1,20,2,11,90,7,74,,,,
2010,France,Jessy Matador,Allez Olla Olé,12,,18,,12,82,,,,,,
2010,Serbia,Milan Stanković,Ovo Je Balkan,13,1,8,7,13,72,5,79,,,,
2010,Israel,Harel Skaat,Milim,14,2,24,3,14,71,8,71,,,,
2010,Spain,Daniel Diges,Algo Pequeñito,15,,2,,15,68,,,,,,
2010,Albania,Juliana Pasha,It's All About You,16,1,15,12,16,62,6,76,,,,
2010,Bosnia & Herzegovina,Vukašin Brajić,Thunder and Lightning,17,1,6,8,17,51,8,59,,,,
2010,Portugal,Filipa Azevedo,Há Dias Assim,18,1,23,14,18,43,4,89,,,,
2010,Iceland,Hera Björk,Je Ne Sais Quoi,19,1,16,17,19,41,3,123,,,,
2010,Norway,Didrik Solli-Tangen,My Heart Is Yours,20,,3,,20,35,,,,,,
2010,Cyprus,Jon Lilygreen & The Islanders,Life Looks Better In Spring,21,2,5,14,21,27,10,67,,,,
2010,Moldova,Sunstroke Project & Olia Tira,Run Away,22,1,4,1,22,27,10,52,,,,
2010,Ireland,Niamh Kavanagh,It's For You,23,2,10,12,23,25,9,67,,,,
2010,Belarus,3+2,Butterflies,24,1,9,16,24,18,9,59,,,,
2010,United Kingdom,Josh,That Sounds Good To Me,25,,12,,25,10,,,,,,
2010,Sweden,Anna Bergendahl,This Is My Life,26,2,,6,,,11,62,,,,
2010,Finland,Kuunkuiskaajat,Työlki Ellää,27,1,,5,,,11,49,,,,
2010,Lithuania,InCulto,Eastern European Funk,28,2,,1,,,12,44,,,,
2010,Malta,Thea Garrett,My Dream,29,1,,11,,,12,45,,,,
2010,Poland,Marcin Mroziński,Legenda,30,1,,9,,,13,44,,,,
2010,Estonia,Malcolm Lincoln,Siren,31,1,,3,,,14,39,,,,
2010,North Macedonia,Gjoko Taneski,Jas Ja Imam Silata,32,1,,15,,,15,37,,,,
2010,Croatia,Feminnem,Lako Je Sve,33,2,,15,,,13,33,,,,
2010,Netherlands,Sieneke,Ik Ben Verliefd (Sha-la-lie),34,2,,9,,,14,29,,,,
2010,Slovakia,Kristina Pelakova,Horehronie,35,1,,4,,,16,24,,,,
2010,Bulgaria,Miro,Angel Si Ti,36,2,,13,,,15,19,,,,
2010,Latvia,Aisha,What For?,37,1,,6,,,17,11,,,,
2010,Slovenia,Ansambel Žlindra & Kalamari,Narodnozabavni Rock,38,2,,11,,,16,6,,,,
2010,Switzerland,Michael von der Heide,Il Pleut de L'Or,39,2,,5,,,17,2,,,,
2011,Azerbaijan,Ell/Nikki,Running Scared,1,1,19,18,1,221,2,122,,,,
2011,Italy,Raphael Gualazzi,Madness Of Love,2,,12,,2,189,,,,,,
2011,Sweden,Eric Saade,Popular,3,2,7,8,3,185,1,155,,,,
2011,Ukraine,Mika Newton,Angel,4,2,23,6,4,159,6,81,,,,
2011,Denmark,A Friend In London,New Tomorrow,5,2,3,18,5,134,2,135,,,,
2011,Bosnia & Herzegovina,Dino Merlin,Love In Rewind,6,2,2,1,6,125,5,109,,,,
2011,Greece,Loucas Yiorkas feat. Stereo Mike,Watch My Dance,7,1,9,19,7,120,1,133,,,,
2011,Ireland,Jedward,Lipstick,8,2,6,19,8,119,8,68,,,,
2011,Georgia,Eldrine,One More Day,9,1,25,9,9,110,6,74,,,,
2011,Germany,Lena,Taken By A Stranger,10,,16,,10,107,,,,,,
2011,United Kingdom,Blue,I Can,11,,14,,11,100,,,,,,
2011,Moldova,Zdob și Zdub,So Lucky,12,2,15,7,12,97,10,54,,,,
2011,Slovenia,Maja Keuc,No One,13,2,20,13,13,96,3,112,,,,
2011,Serbia,Nina,Čaroban,14,1,24,6,14,85,8,67,,,,
2011,France,Amaury Vassili,Sognu,15,,11,,15,82,,,,,,
2011,Russia,Alexej Vorobjov,Get You,16,1,10,7,16,77,9,64,,,,
2011,Romania,Hotel FM,Change,17,2,17,14,17,77,4,111,,,,
2011,Austria,Nadine Beiler,The Secret Is Love,18,2,18,2,18,64,7,69,,,,
2011,Lithuania,Evelina Sašenko,C'est Ma Vie,19,1,4,17,19,63,5,81,,,,
2011,Iceland,Sjonni's Friends,Coming Home,20,1,21,14,20,61,4,100,,,,
2011,Finland,Paradise Oskar,Da Da Dam,21,1,1,10,21,57,3,103,,,,
2011,Hungary,Kati Wolf,What About My Dreams?,22,1,5,15,22,53,7,72,,,,
2011,Spain,Lucía Pérez,Que Me Quiten Lo Bailao,23,,22,,23,50,,,,,,
2011,Estonia,Getter Jaani,Rockefeller Street,24,2,8,15,24,44,9,60,,,,
2011,Switzerland,Anna Rossinelli,In Love For A While,25,1,13,8,25,19,10,55,,,,
2011,Malta,Glen Vella,One Life,26,1,,11,,,11,54,,,,
2011,Armenia,Emmy,Boom Boom,27,1,,4,,,12,54,,,,
2011,Belgium,Witloof Bay,With Love Baby,28,2,,4,,,11,53,,,,
2011,Turkey,Yüksek Sadakat,Live It Up,29,1,,5,,,13,47,,,,
2011,Albania,Aurela Gaçe,Feel The Passion,30,1,,3,,,14,47,,,,
2011,Bulgaria,Poli Genova,Na Inat,31,2,,10,,,12,48,,,,
2011,Slovakia,TWiiNS,I'm Still Alive,32,2,,5,,,13,48,,,,
2011,Belarus,Anastasiya Vinnikova,I Love Belarus,33,2,,16,,,14,45,,,,
2011,Croatia,Daria,Celebrate,34,1,,13,,,15,41,,,,
2011,Israel,Dana International,Ding Dong,35,2,,12,,,15,38,,,,
2011,North Macedonia,Vlatko Ilievski,Rusinka,36,2,,11,,,16,36,,,,
2011,San Marino,Senit,Stand By,37,1,,12,,,16,34,,,,
2011,Norway,Stella Mwangi,Haba Haba,38,1,,2,,,17,30,,,,
2011,Latvia,Musiqq,Angel In Disguise,39,2,,17,,,17,25,,,,
2011,Portugal,Homens Da Luta,Luta É Alegria,40,1,,16,,,18,22,,,,
2011,Poland,Magdalena Tul,Jestem,41,1,,1,,,19,18,,,,
2011,Cyprus,Christos Mylordos,San Aggelos S'agapisa,42,2,,9,,,18,16,,,,
2011,Netherlands,3JS,Never Alone,43,2,,3,,,19,13,,,,
2012,Sweden,Loreen,Euphoria,1,2,17,11,1,372,1,181,,,,
2012,Russia,Buranovskiye Babushki,Party For Everybody,2,1,6,14,2,259,1,152,,,,
2012,Serbia,Željko Joksimović,Nije Ljubav Stvar,3,2,24,1,3,214,2,159,,,,
2012,Azerbaijan,Sabina Babayeva,When The Music Dies,4,,13,,4,150,,,,,,
2012,Albania,Rona Nishliu,Suus,5,1,3,5,5,146,2,146,,,,
2012,Estonia,Ott Lepland,Kuula,6,2,11,14,6,120,4,100,,,,
2012,Turkey,Can Bonomo,Love Me Back,7,2,18,13,7,112,5,80,,,,
2012,Germany,Roman Lob,Standing Still,8,,20,,8,110,,,,,,
2012,Italy,Nina Zilli,L'Amore È Femmina (Out Of Love),9,,10,,9,101,,,,,,
2012,Spain,Pastora Soler,Quédate Conmigo,10,,19,,10,97,,,,,,
2012,Moldova,Pasha Parfeny,Lăutar,11,1,26,17,11,81,5,100,,,,
2012,Romania,Mandinga,Zaleilah,12,1,14,6,12,71,3,120,,,,
2012,North Macedonia,Kaliopi,Crno I Belo,13,2,22,2,13,71,9,53,,,,
2012,Lithuania,Donny Montell,Love Is Blind,14,2,4,18,14,70,3,104,,,,
2012,Ukraine,Gaitana,Be My Guest,15,2,25,7,15,65,8,64,,,,
2012,Cyprus,Ivi Adamou,La La Love,16,1,8,12,16,65,7,91,,,,
2012,Greece,Eleftheria Eleftheriou,Aphrodisiac,17,1,16,3,17,64,4,116,,,,
2012,Bosnia & Herzegovina,Maya Sar,Korake Ti Znam,18,2,5,17,18,55,6,77,,,,
2012,Ireland,Jedward,Waterline,19,1,23,18,19,46,6,92,,,,
2012,Iceland,Greta Salóme & Jónsi,Never Forget,20,1,7,2,20,46,8,75,,,,
2012,Malta,Kurt Calleja,This Is The Night,21,2,21,4,21,41,7,70,,,,
2012,France,Anggun,Echo (You And I),22,,9,,22,21,,,,,,
2012,Denmark,Soluna Samay,Should've Known Better,23,1,15,13,23,21,9,63,,,,
2012,Hungary,Compact Disco,Sound Of Our Hearts,24,1,2,15,24,19,10,52,,,,
2012,United Kingdom,Engelbert Humperdinck,Love Will Set You Free,25,,1,,25,12,,,,,,
2012,Norway,Tooji,Stay,26,2,12,16,26,7,10,45,,,,
2012,Bulgaria,Sofi Marinova,Love Unlimited,27,2,,8,,,11,45,,,,
2012,Switzerland,Sinplus,Unbreakable,28,1,,7,,,11,45,,,,
2012,Croatia,Nina Badrić,Nebo,29,2,,10,,,12,42,,,,
2012,Finland,Pernilla,När Jag Blundar,30,1,,9,,,12,41,,,,
2012,Portugal,Filipa Sousa,Vida Minha,31,2,,6,,,13,39,,,,
2012,Georgia,Anri Jokhadze,I'm A Joker,32,2,,12,,,14,36,,,,
2012,Netherlands,Joan Franka,You And Me,33,2,,3,,,15,35,,,,
2012,Belarus,Litesound,We Are The Heroes,34,2,,5,,,16,35,,,,
2012,Israel,Izabo,Time,35,1,,10,,,13,33,,,,
2012,San Marino,Valentina Monetta,The Social Network Song (Oh Oh – Uh - Oh Oh),36,1,,11,,,14,31,,,,
2012,Slovenia,Eva Boto,Verjamem,37,2,,9,,,17,31,,,,
2012,Slovakia,Max Jason Mai,Don't Close Your Eyes,38,2,,15,,,18,22,,,,
2012,Montenegro,Rambo Amadeus,Euro Neuro,39,1,,1,,,15,20,,,,
2012,Latvia,Anmary,Beautiful Song,40,1,,4,,,16,17,,,,
2012,Belgium,Iris,Would You?,41,1,,8,,,17,16,,,,
2012,Austria,Trackshittaz,Woki Mit Deim Popo,42,1,,16,,,18,8,,,,
2013,Denmark,Emmelie de Forest,Only Teardrops,1,1,18,5,1,281,1,167,,,,
2013,Azerbaijan,Farid Mammadov,Hold Me,2,2,20,4,2,234,1,139,,,,
2013,Ukraine,Zlata Ognevich,Gravity,3,1,22,7,3,214,3,140,,,,
2013,Norway,Margaret Berger,I Feed You My Love,4,2,24,13,4,191,3,120,,,,
2013,Russia,Dina Garipova,What If,5,1,10,6,5,174,2,156,,,,
2013,Greece,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,6,2,21,9,6,152,2,121,,,,
2013,Italy,Marco Mengoni,L'Essenziale,7,,23,,7,126,,,,,,
2013,Malta,Gianluca,Tomorrow,8,2,9,6,8,120,4,118,,,,
2013,Netherlands,Anouk,Birds,9,1,13,8,9,114,6,75,,,,
2013,Hungary,ByeAlex,Kedvesem,10,2,17,12,10,84,8,66,,,,
2013,Moldova,Aliona Moon,O Mie,11,1,3,12,11,71,4,95,,,,
2013,Belgium,Roberto Bellarosa,Love Kills,12,1,6,15,12,71,5,75,,,,
2013,Romania,Cezar,It's My Life,13,2,14,17,13,65,5,83,,,,
2013,Sweden,Robin Stjernberg,You,14,,16,,14,62,,,,,,
2013,Georgia,Nodi Tatishvili & Sophie Gelovani,Waterfall,15,2,25,15,15,50,10,63,,,,
2013,Belarus,Alyona Lanskaya,Solayoh,16,1,8,11,16,48,7,64,,,,
2013,Iceland,Eythor Ingi,Ég Á Líf,17,2,19,8,17,47,6,72,,,,
2013,Armenia,Dorians,Lonely Planet,18,2,12,11,18,41,7,69,,,,
2013,United Kingdom,Bonnie Tyler,Believe In Me,19,,15,,19,23,,,,,,
2013,Estonia,Birgit,Et Uus Saaks Alguse,20,1,7,2,20,19,10,52,,,,
2013,Germany,Cascada,Glorious,21,,11,,21,18,,,,,,
2013,Lithuania,Andrius Pojavis,Something,22,1,2,10,22,17,9,53,,,,
